https://data.cms.gov/provider-data/ location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.cms.gov/provider-data/dataset/y9us-9xdf,Footnote Crosswalk,19-Feb-25,Added Footnote 29
https://data.cms.gov/provider-data/dataset/v6ff-cmgx,Health_Equity_Hospital.csv,19-Feb-25,No updates
https://data.cms.gov/provider-data/dataset/5ryi-3zdn,Health_Equity_State.csv,19-Feb-25,No updates
https://data.cms.gov/provider-data/dataset/anfs-nlq7,Health_Equity_National.csv,19-Feb-25,No updates
https://data.cms.gov/provider-data/dataset/77hc-ibv8,Healthcare Associated Infections - Hospital,19-Feb-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yd3s-jyhd,Healthcare Associated Infections - National,19-Feb-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/k2ze-bqvw,Healthcare Associated Infections - State,19-Feb-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yq43-i98g,Hospital-Acquired Condition Reduction Program,19-Feb-25,Data refreshed
https://data.cms.gov/provider-data/dataset/xubh-q36u,Hospital General Information,19-Feb-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/9n3s-kdb3,Hospital Readmissions Reduction Program,19-Feb-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,19-Feb-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,19-Feb-25,Data refeshed; Open/Closed List applied
